"","household_key","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DAY","STORE_ID","RETAIL_DISC","TRANS_TIME","WEEK_NO","COUPON_DISC","COUPON_MATCH_DISC","TotalValue","TRANS_TIME_Cat"
"154",438,3,1,5,2,3,2,0,704,320,-7.5,1533,101,0,0,4456.51999999999,"evening"
"155",441,4,2,5,1,4,1,0,709,315,0,1847,102,0,0,2369.9,"evening"
"156",442,2,3,2,5,1,2,1,711,34011,-0.97,1516,102,0,0,3094.71,"evening"
"157",443,4,1,3,1,3,2,0,711,410,-0.4,1135,102,0,0,2644.21,"morning"
"158",451,2,2,1,4,3,2,0,711,33923,0,1246,102,0,0,2376.28,"evening"
"159",454,5,3,4,5,5,1,0,710,388,-2.38,1641,102,0,0,8215.9299999999,"evening"
"160",456,1,2,5,1,3,2,0,701,401,-0.5,1649,101,0,0,6314.02999999993,"evening"
"161",458,5,1,4,1,4,2,0,709,310,-27.02,1600,102,0,0,1685.64,"evening"
"162",460,6,2,3,1,4,1,0,707,396,0,1317,102,0,0,760.45,"evening"
"163",462,6,3,7,5,5,1,0,706,304,0,2144,102,0,0,1510.63,"evening"
"164",464,6,1,5,1,3,2,0,709,306,-2.71,1233,102,0,0,3590.48999999999,"evening"
"165",469,4,3,6,2,4,1,0,698,33923,-0.49,1826,100,0,0,7748.48999999988,"evening"
"166",473,4,3,5,1,6,1,0,709,327,0,1126,102,0,0,3208.70999999999,"morning"
"167",483,4,3,4,5,4,1,0,710,296,0,318,102,0,0,2718.98999999999,"morning"
"168",484,2,3,2,5,3,2,0,706,335,-0.49,1749,102,0,0,2964.50999999999,"evening"
"169",485,3,3,3,1,5,1,0,710,330,-1.69,1115,102,0,0,5431.00999999998,"morning"
"170",489,5,3,9,5,4,1,0,711,448,0,1416,102,0,0,5866.55999999996,"evening"
"171",490,3,1,6,1,2,5,3,692,427,0,1702,100,0,0,3886.86999999999,"evening"
"172",491,4,1,6,5,4,2,0,709,375,0,1829,102,0,0,4835.70999999995,"evening"
"173",492,4,3,5,1,3,2,0,633,382,0,1811,91,0,0,7148.27999999993,"evening"
"174",493,5,3,5,5,6,1,0,708,422,-0.25,1647,102,0,0,4925.55999999996,"evening"
"175",510,3,1,12,1,2,3,1,707,31862,-1.49,1553,102,0,0,7903.3599999999,"evening"
"176",513,4,3,6,1,3,2,0,705,447,-2.49,944,101,-1,0,12130.0099999999,"morning"
"177",518,4,1,6,1,3,2,0,706,427,0,1713,102,0,0,4926.36999999996,"evening"
"178",523,6,2,4,1,5,1,0,710,445,0,1317,102,0,0,5731.86999999996,"evening"
"179",526,4,3,5,5,6,1,0,707,31782,0,1914,102,0,0,4574.91999999996,"evening"
"180",527,4,3,5,1,4,1,0,708,32004,0,1420,102,0,0,3581.51999999997,"evening"
"181",534,4,3,4,5,5,1,0,709,31642,0,957,102,0,0,1315.44,"morning"
"182",540,2,2,5,1,4,1,0,707,299,0,2002,102,0,0,3280.72999999998,"evening"
"183",542,2,3,4,5,4,1,0,692,31582,-0.49,1614,100,0,0,2313.52,"evening"
"184",543,3,1,4,2,1,3,1,711,356,-0.69,1532,102,0,0,3697.54999999998,"evening"
"185",546,4,3,5,5,3,2,0,633,327,-4.9,1619,91,0,0,3338.99999999999,"evening"
"186",548,3,2,6,1,3,2,0,684,381,0,1528,98,0,0,4255.82999999998,"evening"
"187",553,4,3,6,1,3,2,0,711,330,0,1514,102,0,0,7259.08999999991,"evening"
"188",560,1,3,4,5,3,2,0,711,382,0,1636,102,0,0,7290.89999999994,"evening"
"189",567,1,3,3,5,5,1,0,711,292,-2.41,2156,102,0,0,3134.89999999999,"evening"
"190",569,3,1,12,1,2,3,1,710,316,0,1428,102,0,0,6749.18999999989,"evening"
"191",574,3,1,6,1,2,3,1,711,427,-0.49,910,102,0,0,6753.53999999996,"morning"
"192",575,3,3,5,5,4,1,0,711,362,-0.66,1143,102,0,0,11771.1299999999,"morning"
"193",576,5,1,4,1,5,2,0,679,289,-0.71,1953,98,0,0,3750.11999999998,"evening"
"194",578,2,3,5,5,5,1,0,704,401,0,1920,101,0,0,2996.68999999999,"evening"
"195",582,4,1,8,1,6,3,1,709,439,0,1336,102,0,0,5137.73999999996,"evening"
"196",583,3,2,2,5,4,1,0,690,427,-0.31,1823,99,0,0,3063.33999999999,"evening"
"197",586,1,1,4,4,2,3,1,711,359,0,2106,102,0,0,5822.63999999995,"evening"
"198",588,3,1,5,1,2,5,3,710,338,-0.19,1450,102,0,0,9540.53999999991,"evening"
"199",593,3,3,4,5,5,1,0,691,382,0,1440,99,0,0,646.4,"evening"
"200",595,2,3,4,5,2,3,1,709,352,-0.49,1435,102,0,0,2373.74,"evening"
"201",596,4,1,2,1,1,3,1,711,297,-2.41,1949,102,0,0,2996.36999999999,"evening"
"202",597,1,3,1,5,1,2,1,708,412,0,2014,102,0,0,3826.24999999998,"evening"
"203",598,3,2,3,5,4,1,0,710,318,0,1333,102,0,0,3354.89999999999,"evening"
"204",601,3,1,7,1,2,4,2,710,306,-0.52,1846,102,0,0,5241.26999999995,"evening"
"205",605,2,1,6,1,2,4,2,708,369,-1.82,1234,102,0,0,5856.37999999995,"evening"
"206",606,4,3,4,3,6,1,0,708,446,-0.19,2313,102,0,0,3323.11999999998,"evening"
"207",607,4,3,8,5,6,1,0,706,432,0,1207,102,0,0,3203.00999999999,"evening"
"208",608,2,2,3,4,1,5,3,711,441,0,2016,102,0,0,5148.97999999997,"evening"
"209",609,4,3,5,5,6,1,0,711,388,0,1351,102,0,0,1665.89,"evening"
"210",614,3,1,2,5,2,4,2,708,288,0,1910,102,0,0,2757.24,"evening"
"211",621,4,3,4,5,5,1,0,710,450,-0.58,1413,102,0,0,3179.15000000001,"evening"
"212",622,3,3,2,5,4,1,0,710,298,0,1135,102,0,0,2384.37,"morning"
"213",623,4,1,4,1,2,3,1,711,381,-0.14,2343,102,0,0,3899.15999999999,"evening"
"214",624,4,3,5,5,6,1,0,705,370,0,1737,101,0,0,6003.46999999996,"evening"
"215",630,3,1,4,1,2,3,1,711,306,-0.99,1253,102,0,0,7746.26999999995,"evening"
"216",631,6,1,7,1,2,3,1,711,389,0,1447,102,0,0,9277.71999999987,"evening"
"217",644,6,1,6,1,3,2,0,710,335,-0.1,1405,102,0,0,3772.02999999997,"evening"
"218",647,3,1,5,4,2,4,2,711,343,-1.09,1637,102,0,0,6326.73999999994,"evening"
"219",660,5,1,5,1,6,2,0,709,450,-2,1902,102,0,0,7954.2799999999,"evening"
"220",661,4,3,5,1,6,1,0,710,427,-0.5,1431,102,0,0,8271.30999999994,"evening"
"221",670,5,1,4,5,2,3,1,708,412,0,1322,102,0,0,5685.66999999995,"evening"
"222",671,3,3,4,1,4,1,0,694,432,0,1620,100,0,0,5089.65999999998,"evening"
"223",672,3,3,3,5,3,2,0,710,403,0,2345,102,0,0,2731.15,"evening"
"224",675,3,3,5,5,3,2,0,711,372,0,1508,102,0,0,4832.37999999998,"evening"
"225",680,4,3,5,1,6,1,0,700,424,0,1157,101,0,0,3513.01999999998,"morning"
"226",682,6,1,8,1,3,2,0,569,432,-0.39,1129,82,0,0,4438.28999999998,"morning"
"227",685,3,1,1,5,4,2,0,708,304,-0.25,2328,102,0,0,6019.76999999995,"evening"
"228",688,3,1,8,1,2,3,1,692,320,-0.39,1434,100,0,0,3207.60999999999,"evening"
"229",690,6,2,2,1,4,1,0,710,318,-0.97,1259,102,0,0,4963.13999999997,"evening"
"230",692,6,3,4,1,4,1,0,710,335,0,2021,102,0,0,3891.13999999997,"evening"
"231",693,4,3,2,5,3,2,0,696,359,0,1236,100,0,0,6378.79999999995,"evening"
"232",695,3,2,4,5,1,3,2,710,315,-1,2146,102,0,0,8523.9299999999,"evening"
"233",696,3,3,5,1,3,2,0,708,369,-1.91,1653,102,0,0,14715.5299999999,"evening"
"234",699,4,1,5,1,3,2,0,706,408,-0.1,1657,102,0,0,10352.9999999999,"evening"
"235",706,4,2,5,1,3,2,0,711,384,-1.07,1850,102,0,0,4024.59999999998,"evening"
"236",707,2,1,7,1,2,5,3,711,429,-1.48,1552,102,0,0,19194.42,"evening"
"237",708,3,1,7,1,2,4,2,706,402,-0.49,2029,102,0,0,2828.05999999999,"evening"
"238",712,6,1,5,1,3,2,0,710,448,-0.59,1019,102,0,0,11711.0199999999,"morning"
"239",714,5,3,2,5,2,3,1,711,403,0,1142,102,0,0,4117.33999999999,"morning"
"240",715,5,1,2,1,3,2,0,711,415,-1.9,1748,102,0,0,3712.13999999999,"evening"
"241",716,4,1,6,1,2,5,3,708,400,-0.54,848,102,0,0,1290.68,"morning"
"242",718,4,1,3,1,2,5,3,707,324,-1.4,1710,102,0,0,19299.8600000002,"evening"
"243",722,3,1,5,1,3,2,0,705,359,0,1057,101,0,0,6437.61999999994,"morning"
"244",725,4,3,3,5,4,1,0,711,400,0,1156,102,0,0,4828.57999999998,"morning"
"245",731,4,3,4,1,3,2,0,702,445,0,1740,101,0,0,3151.30999999999,"evening"
"246",732,5,1,6,1,2,4,2,709,333,-0.57,2112,102,0,0,3967.81999999998,"evening"
"247",733,4,1,6,1,3,2,0,704,356,-0.22,1639,101,0,0,2678.56,"evening"
"248",740,4,1,10,1,4,2,0,711,404,0,1117,102,0,0,6644.84999999993,"morning"
"249",741,6,3,5,1,2,3,1,705,315,-0.57,1405,101,0,0,3414.59999999998,"evening"
"250",742,3,1,2,4,1,4,2,703,391,0,1610,101,0,0,3950.96,"evening"
"251",748,4,2,1,1,2,3,1,702,381,0,2137,101,0,0,2709.18,"evening"
"252",752,3,1,6,4,4,2,0,709,356,-2,1703,102,0,0,3792.55999999998,"evening"
"253",753,4,1,6,1,2,4,2,711,396,-0.9,1801,102,0,0,2177.13,"evening"
"254",755,3,3,5,1,6,1,0,709,382,-1.33,538,102,0,0,10617.05,"morning"
"255",761,2,1,8,1,1,5,3,711,343,0,1903,102,0,0,9036.00999999992,"evening"
"256",762,3,1,8,4,4,2,0,711,31862,0,1102,102,0,0,8982.78999999988,"morning"
"257",764,3,1,5,1,2,5,3,703,33923,-17.97,2141,101,0,0,3196.77999999999,"evening"
"258",766,4,1,9,1,3,2,0,701,333,0,2113,101,0,0,8350.08999999989,"evening"
"259",768,3,1,5,4,4,2,0,710,323,0,1733,102,0,0,6681.34999999993,"evening"
"260",770,2,1,5,1,2,5,3,698,415,-0.91,2134,100,-2,0,2246.36,"evening"
"261",771,4,3,5,1,6,1,0,711,359,-1.2,1747,102,0,0,7990.9699999999,"evening"
"262",779,6,3,8,1,2,3,1,710,343,-1.2,2055,102,0,0,3918.27999999997,"evening"
"263",784,4,1,7,1,4,2,0,708,363,-0.01,1919,102,0,0,3117.65999999999,"evening"
"264",785,6,1,6,1,3,2,0,707,363,-1.98,1524,102,0,0,2089.8,"evening"
"265",786,1,3,6,1,3,2,0,706,448,-0.62,1144,102,0,0,7434.06999999991,"morning"
"266",787,2,2,3,1,5,1,0,709,389,-2,1531,102,0,0,2504.58999999999,"evening"
"267",788,2,3,1,5,1,2,1,709,313,-0.42,1634,102,0,0,7514.19999999997,"evening"
"268",790,4,3,5,1,6,1,0,704,31782,-2,151,101,0,0,2842.62999999998,"morning"
"269",797,2,3,6,1,3,2,0,706,450,-2.41,1411,102,0,0,3059.56999999999,"evening"
"270",800,2,1,4,1,3,2,0,711,424,0,1619,102,0,0,10426.5799999999,"evening"
"271",802,6,3,4,1,3,2,0,702,404,0,1023,101,0,0,2154.43,"morning"
"272",803,2,3,6,5,3,2,0,707,327,0,1707,102,0,0,2036.84000000001,"evening"
"273",806,3,1,6,1,3,2,0,711,356,-0.5,2015,102,0,0,5875.34999999996,"evening"
"274",808,4,3,6,1,2,3,1,711,34280,0,2131,102,0,0,2317.9,"evening"
"275",816,2,3,5,5,4,1,0,696,380,0,1830,100,0,0,3468.65999999998,"evening"
"276",817,3,1,9,1,2,3,1,706,333,-28.48,1407,102,0,0,4801.84999999997,"evening"
"277",823,3,1,5,1,2,3,1,705,422,-1.76,1201,101,0,0,2590.14999999999,"afternoon"
"278",825,4,1,10,1,3,2,0,708,432,0,1826,102,0,0,11835.0199999999,"evening"
"279",831,4,2,5,1,1,3,2,706,304,-0.5,2029,102,0,0,8831.34999999993,"evening"
"280",840,3,1,6,1,2,5,3,711,400,0,1456,102,0,0,11944.5699999999,"evening"
"281",844,4,1,11,1,3,2,0,710,31862,0,925,102,0,0,5399.63999999993,"morning"
"282",845,1,2,5,1,4,1,0,705,343,0,1437,101,0,0,5097.27999999996,"evening"
"283",852,2,3,4,5,2,4,2,704,333,-0.49,1458,101,0,0,1943.73,"evening"
"284",853,2,2,10,5,4,1,0,710,367,-0.01,1224,102,0,0,13497.2899999998,"evening"
"285",856,5,2,4,1,4,1,0,710,445,0,1643,102,0,0,5080.03999999997,"evening"
