AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
2,1,4,1,3,2,0,800
6,3,4,1,3,2,0,802
2,3,6,5,3,2,0,803
3,1,6,1,3,2,0,806
4,3,6,1,2,3,1,808
2,3,5,5,4,1,0,816
3,1,9,1,2,3,1,817
3,1,5,1,2,3,1,823
4,1,10,1,3,2,0,825
4,2,5,1,1,3,2,831
3,1,6,1,2,5,3,840
4,1,11,1,3,2,0,844
1,2,5,1,4,1,0,845
2,3,4,5,2,4,2,852
2,2,10,5,4,1,0,853
5,2,4,1,4,1,0,856
6,1,4,1,1,3,1,857
2,3,5,5,4,1,0,859
4,3,2,5,6,1,0,863
3,3,2,1,4,1,0,864
3,1,6,1,2,5,3,865
4,3,2,5,1,2,1,866
4,3,6,1,6,1,0,867
6,1,4,1,3,2,0,868
3,1,11,1,2,3,1,871
2,3,3,5,2,3,1,875
2,3,4,5,1,3,2,878
3,2,5,1,3,2,0,879
4,3,5,5,3,2,0,882
3,1,4,1,3,2,0,883
3,1,7,1,3,2,0,886
2,3,9,1,2,3,1,888
2,1,5,1,2,4,2,889
4,3,9,5,5,1,0,895
5,1,8,1,3,2,0,898
3,1,4,1,3,2,0,900
3,3,4,5,5,1,0,903
5,1,1,1,4,2,0,906
4,1,7,2,2,3,1,908
2,1,8,1,3,2,0,911
4,2,2,1,3,2,0,914
4,3,2,5,4,1,0,915
4,1,4,1,2,5,3,920
4,3,4,5,6,1,0,922
3,3,1,1,3,2,0,926
4,2,3,4,1,2,1,929
1,3,2,5,3,2,0,932
4,3,1,5,4,1,0,934
4,3,6,1,3,2,0,939
1,1,11,5,3,2,0,941
1,3,1,5,4,1,0,946
6,2,4,1,5,1,0,947
2,3,5,1,3,2,0,949
1,3,1,5,4,1,0,955
4,3,5,1,3,2,0,956
3,1,8,1,2,5,3,960
3,2,4,4,1,2,1,968
2,1,4,1,2,3,1,971
3,1,5,1,2,4,2,973
2,1,11,1,2,5,3,976
3,2,4,1,1,2,1,979
4,1,3,1,4,2,0,981
4,3,4,5,2,4,2,982
4,1,4,1,2,3,1,983
2,3,4,5,5,1,0,986
4,1,4,1,2,3,1,992
5,1,5,1,1,5,3,993
5,1,3,1,3,2,0,996
4,3,6,1,5,1,0,997
4,3,5,1,6,1,0,1001
3,3,3,5,4,1,0,1003
2,3,2,5,5,1,0,1004
3,1,4,5,6,5,3,1012
4,1,2,5,2,4,2,1014
4,3,5,1,6,1,0,1015
4,1,4,1,2,5,3,1018
4,1,3,1,3,2,0,1020
3,1,5,1,2,5,3,1021
2,1,1,1,2,4,2,1024
3,1,6,1,3,2,0,1031
5,3,1,3,5,1,0,1038
2,2,7,5,5,1,0,1040
2,3,4,5,5,1,0,1041
2,3,6,1,3,2,0,1042
2,1,1,1,5,2,0,1045
5,1,7,1,3,2,0,1053
3,3,5,5,5,1,0,1057
3,2,4,4,3,2,0,1060
6,3,2,1,3,2,0,1062
3,3,3,5,3,2,0,1066
2,3,4,5,3,2,0,1069
3,3,5,1,3,2,0,1070
4,1,4,1,2,4,2,1074
2,2,4,1,3,2,0,1076
5,1,6,1,3,2,0,1081
4,3,4,5,5,1,0,1082
2,3,4,5,2,3,1,1084
4,1,6,1,3,2,0,1091
4,1,6,1,2,5,3,1094
3,1,5,1,2,3,1,1103
4,1,5,1,2,3,1,1113
3,2,1,4,2,4,2,1120
5,1,2,5,4,2,0,1123
2,3,6,5,2,3,1,1128
5,3,3,4,2,3,1,1130
4,2,5,1,2,3,1,1131
4,3,5,5,6,2,1,1135
6,2,4,1,5,1,0,1137
3,3,2,5,3,2,0,1138
4,1,5,1,3,2,0,1142
3,2,4,1,1,4,3,1146
1,3,3,5,3,2,0,1147
4,3,1,3,5,1,0,1151
4,1,4,1,6,2,0,1154
4,3,2,1,3,2,0,1158
4,1,2,1,3,2,0,1159
6,3,4,1,4,1,0,1160
3,3,1,5,6,1,0,1163
2,3,2,5,5,1,0,1164
4,1,8,1,2,3,1,1166
3,3,5,1,2,4,2,1167
1,1,2,1,3,2,0,1169
2,2,5,5,5,1,0,1172
2,3,1,5,2,5,3,1174
2,1,5,1,4,2,0,1175
4,3,2,5,4,1,0,1178
3,1,5,1,3,2,0,1179
4,1,5,1,1,5,3,1186
4,3,4,4,6,1,0,1188
2,3,4,1,3,2,0,1190
3,1,9,1,3,2,0,1197
4,1,4,1,2,4,2,1218
1,1,2,1,2,3,1,1219
4,3,2,1,4,1,0,1222
2,2,4,1,1,3,2,1226
4,3,7,5,4,1,0,1228
5,1,9,1,3,2,0,1229
4,2,4,1,3,2,0,1234
3,3,5,5,2,3,1,1236
4,3,1,1,3,2,0,1240
3,1,4,1,3,2,0,1247
4,3,5,5,1,2,1,1248
4,3,5,5,1,2,1,1256
4,3,5,1,2,3,1,1257
4,3,6,1,6,1,0,1258
6,3,5,1,5,1,0,1260
4,1,3,1,4,2,0,1261
2,2,2,5,5,1,0,1263
4,3,2,5,5,1,0,1264
2,3,6,5,4,1,0,1267
3,3,1,1,2,4,2,1268
4,3,2,5,4,1,0,1270
6,1,4,1,4,2,0,1272
2,2,3,4,1,3,2,1285
5,1,4,1,5,2,0,1291
6,1,3,1,4,2,0,1296
3,3,6,1,6,1,0,1297
3,3,2,4,2,4,2,1299
4,1,5,1,2,4,2,1300
1,2,1,4,1,2,1,1305
4,3,1,5,6,1,0,1306
5,3,4,5,3,2,0,1316
6,1,5,1,3,2,0,1318
1,3,4,5,3,2,0,1321
4,3,1,1,5,1,0,1326
4,3,8,1,2,4,2,1333
4,3,5,1,2,4,2,1337
3,3,6,1,3,2,0,1352
6,2,2,1,3,2,0,1354
5,1,3,1,3,2,0,1357
2,3,2,5,1,2,1,1363
6,2,7,1,4,1,0,1364
3,3,6,1,2,3,1,1367
2,2,1,3,5,1,0,1369
6,3,3,1,3,2,0,1370
5,3,5,1,6,1,0,1376
2,3,7,5,4,1,0,1378
4,3,5,1,3,2,0,1382
3,1,7,5,2,3,1,1388
6,1,7,1,4,2,0,1389
4,1,5,1,3,2,0,1391
3,2,9,1,4,1,0,1393
4,1,5,1,3,2,0,1394
6,1,8,1,3,2,0,1396
4,2,4,4,4,1,0,1397
5,3,2,5,5,1,0,1402
4,1,5,1,2,3,1,1412
2,1,4,1,2,3,1,1418
3,3,4,5,4,1,0,1419
3,1,5,1,3,2,0,1421
4,3,2,5,5,1,0,1423
1,2,5,5,2,3,1,1425
5,3,4,5,3,2,0,1428
4,2,4,4,4,1,0,1429
3,1,4,1,2,3,1,1430
2,1,2,1,1,3,1,1437
4,3,1,5,4,1,0,1438
3,3,9,5,3,2,0,1443
3,1,1,1,3,2,0,1445
4,1,8,1,1,5,3,1451
4,1,3,5,2,3,1,1452
4,1,8,1,2,3,1,1453
6,1,6,1,3,2,0,1454
3,3,3,1,3,2,0,1461
2,1,5,4,3,2,0,1462
3,1,5,2,2,4,2,1467
6,1,6,1,3,2,0,1468
4,3,4,5,4,1,0,1470
3,3,5,1,6,1,0,1474
2,2,5,1,5,1,0,1475
4,3,2,3,6,1,0,1479
1,3,4,5,5,1,0,1481
1,3,1,5,6,1,0,1483
1,1,4,1,3,2,0,1484
3,3,5,1,5,1,0,1485
2,1,5,2,4,2,0,1488
6,3,4,1,3,2,0,1491
6,1,2,1,3,2,0,1492
6,2,3,5,4,1,0,1494
5,1,2,1,3,2,0,1499
4,3,3,5,4,1,0,1505
4,1,5,1,3,2,0,1509
4,1,5,1,2,4,2,1517
4,1,4,1,3,2,0,1524
2,1,5,1,3,2,0,1527
3,2,8,5,4,1,0,1528
4,3,5,5,5,1,0,1529
2,1,6,4,2,3,1,1534
4,3,5,5,6,1,0,1536
1,1,4,4,2,3,1,1537
4,3,2,5,2,4,2,1540
3,3,5,5,6,1,0,1541
4,1,4,1,3,2,0,1545
4,3,2,1,6,1,0,1549
4,1,4,1,3,2,0,1556
2,1,7,4,1,4,2,1557
4,1,6,1,6,3,1,1563
3,3,6,1,3,2,0,1566
4,3,2,4,5,1,0,1567
5,2,4,1,4,1,0,1568
3,1,6,1,3,2,0,1572
4,3,2,5,3,2,0,1578
1,2,5,5,3,2,0,1580
4,2,9,1,4,1,0,1585
3,3,5,1,6,1,0,1588
2,3,3,5,4,1,0,1591
4,3,5,1,5,1,0,1595
3,3,4,2,3,2,0,1604
4,1,8,1,2,5,3,1609
3,1,6,1,4,2,0,1618
2,3,4,5,5,1,0,1627
1,2,1,4,1,4,3,1631
4,1,5,1,3,2,0,1633
2,1,4,1,2,5,3,1634
3,3,2,3,4,1,0,1648
3,2,9,1,5,1,0,1649
4,1,6,1,2,3,1,1650
3,2,1,1,4,1,0,1653
3,3,9,1,3,2,0,1662
3,3,6,5,3,2,0,1676
4,1,6,1,3,2,0,1677
4,3,6,5,4,1,0,1678
2,1,2,1,2,3,1,1680
4,3,2,1,3,2,0,1686
4,3,5,5,6,1,0,1689
3,3,5,5,6,1,0,1692
2,1,4,1,2,3,1,1693
3,3,2,3,4,1,0,1694
3,3,3,1,5,1,0,1695
4,1,5,1,2,3,1,1696
3,2,3,5,4,1,0,1707
4,3,3,5,4,1,0,1708
2,1,4,5,2,3,1,1709
3,1,9,1,5,2,0,1710
4,3,5,5,6,1,0,1720
4,3,2,5,3,2,0,1722
5,3,6,1,4,1,0,1726
1,3,12,5,4,1,0,1740
4,1,1,5,5,2,0,1745
4,3,4,5,5,1,0,1748
5,2,4,1,5,1,0,1749
2,1,2,4,2,4,2,1751
4,3,4,1,6,1,0,1753
3,3,4,5,2,5,3,1759
4,1,8,1,2,5,3,1762
4,1,6,1,2,4,2,1764
4,3,4,5,5,1,0,1765
4,1,6,1,2,5,3,1775
2,1,4,1,3,2,0,1778
6,1,6,1,3,2,0,1779
2,1,4,1,2,5,3,1785
3,1,6,1,3,2,0,1788
4,2,7,1,3,2,0,1791
4,3,3,1,3,2,0,1795
1,3,4,5,4,1,0,1796
6,3,1,1,4,1,0,1797
3,1,10,1,3,2,0,1800
4,3,9,1,3,2,0,1802
1,1,5,1,2,3,1,1803
6,1,4,1,3,2,0,1804
4,3,5,5,4,1,0,1812
6,3,9,1,3,2,0,1814
4,3,3,5,3,2,0,1815
1,2,1,4,2,5,3,1816
4,1,9,1,3,2,0,1820
5,3,4,5,3,2,0,1822
4,1,6,1,3,2,0,1823
6,1,6,1,4,2,0,1829
5,3,6,1,5,1,0,1831
2,3,3,1,1,5,3,1833
4,3,8,1,6,5,3,1834
4,2,4,1,3,2,0,1841
4,1,12,1,3,2,0,1844
4,3,10,5,2,3,1,1845
4,3,10,5,4,1,0,1847
4,1,6,1,6,3,1,1848
6,1,6,1,4,2,0,1850
2,2,9,1,4,1,0,1858
2,3,2,1,2,4,2,1861
4,3,8,1,1,5,3,1864
4,3,5,1,6,1,0,1865
1,1,4,4,3,2,0,1869
3,3,2,5,5,1,0,1873
6,1,4,5,5,2,0,1879
3,1,4,1,2,3,1,1892
3,1,7,1,3,2,0,1894
4,1,5,1,3,2,0,1896
2,1,3,1,2,3,1,1899
4,3,4,1,2,3,1,1901
2,2,5,5,5,1,0,1907
3,1,5,5,5,2,0,1911
5,2,6,1,4,1,0,1914
6,3,2,5,4,1,0,1917
3,1,4,1,1,5,3,1919
5,1,5,1,3,2,0,1920
3,1,4,1,3,2,0,1921
1,2,4,4,4,1,0,1923
2,3,4,1,3,2,0,1926
1,3,1,5,6,1,0,1927
3,2,6,1,2,3,1,1928
3,2,3,1,5,1,0,1929
4,3,5,1,6,1,0,1931
5,1,9,1,3,2,0,1935
4,1,5,1,3,2,0,1937
3,1,5,1,3,2,0,1939
2,3,8,1,2,4,2,1944
2,3,6,5,5,1,0,1946
3,3,5,1,4,1,0,1948
4,3,1,5,4,1,0,1949
4,3,5,1,6,1,0,1953
2,3,4,5,5,1,0,1955
6,3,3,5,3,2,0,1962
6,3,1,4,5,1,0,1964
2,1,5,1,2,3,1,1965
3,2,6,4,5,1,0,1975
2,1,5,1,2,5,3,1976
4,3,9,5,2,3,1,1979
5,1,5,1,4,2,0,1980
2,3,7,5,5,1,0,1982
2,3,5,5,6,5,3,1985
6,3,2,1,4,1,0,1989
3,1,8,1,2,5,3,1990
2,2,3,5,1,3,2,1995
2,3,5,5,5,1,0,1997
3,3,4,1,4,1,0,2002
4,3,5,5,6,1,0,2004
4,3,1,5,5,1,0,2006
4,1,5,1,2,3,1,2007
4,3,6,1,5,1,0,2011
4,1,3,4,5,2,0,2012
1,3,3,5,4,1,0,2013
4,1,6,1,3,2,0,2017
4,3,5,5,6,1,0,2018
3,1,7,5,2,5,3,2020
4,3,4,1,2,3,1,2023
2,2,8,1,3,2,0,2024
3,2,6,1,4,1,0,2030
2,3,3,1,5,1,0,2040
3,2,4,4,3,2,0,2041
3,1,3,1,2,5,3,2050
4,1,2,1,3,2,0,2053
3,1,4,1,3,2,0,2057
2,2,8,1,3,2,0,2058
2,3,3,5,3,2,0,2062
5,1,6,1,3,2,0,2063
1,3,5,5,4,1,0,2064
5,1,5,1,4,2,0,2068
3,3,2,5,4,1,0,2069
4,3,5,5,6,1,0,2070
2,1,7,1,2,3,1,2076
4,1,1,1,2,3,1,2082
5,1,8,1,3,2,0,2084
3,1,4,1,3,2,0,2085
4,1,3,1,3,2,0,2086
4,2,7,1,6,1,0,2087
2,3,4,5,4,1,0,2088
3,1,1,1,1,3,1,2092
4,1,5,1,3,2,0,2094
3,1,2,1,2,5,3,2097
6,1,4,1,3,2,0,2100
5,1,10,1,3,2,0,2102
3,1,6,1,2,5,3,2107
3,1,8,1,3,2,0,2110
4,3,6,1,3,2,0,2111
4,1,4,1,2,5,3,2112
3,1,9,1,2,5,3,2115
3,1,6,1,2,5,3,2116
2,3,5,1,5,1,0,2119
5,2,4,1,3,2,0,2121
4,3,6,1,3,2,0,2123
2,1,5,1,2,4,2,2124
2,3,4,5,1,2,1,2129
2,2,5,1,4,1,0,2130
5,1,7,5,3,2,0,2133
3,3,4,5,4,1,0,2134
6,1,2,1,3,2,0,2140
2,1,6,1,2,3,1,2147
5,1,4,1,2,4,2,2148
4,1,4,1,3,2,0,2154
4,1,5,1,3,2,0,2156
2,2,5,3,4,1,0,2158
4,3,6,1,6,1,0,2162
3,3,5,5,4,1,0,2168
2,1,7,1,3,2,0,2172
2,3,4,5,3,2,0,2173
4,1,4,1,2,3,1,2179
5,1,7,1,2,3,1,2181
4,1,6,1,3,2,0,2182
6,1,3,1,3,2,0,2183
2,3,5,5,4,1,0,2184
2,3,8,1,2,4,2,2185
3,3,3,5,4,1,0,2186
6,2,4,1,3,2,0,2188
3,1,5,1,2,4,2,2190
2,1,5,1,3,2,0,2193
5,2,3,1,5,1,0,2194
3,2,3,5,4,1,0,2198
1,3,5,5,2,3,1,2199
4,3,1,5,5,1,0,2200
4,1,5,1,3,2,0,2203
3,3,5,5,1,3,2,2208
2,1,4,4,2,5,3,2209
3,2,2,5,4,1,0,2217
6,2,4,1,5,1,0,2221
1,2,12,1,5,1,0,2224
3,1,11,1,3,2,0,2231
2,2,9,1,5,1,0,2233
6,1,1,1,3,2,0,2234
4,3,10,1,2,3,1,2235
4,3,5,1,4,1,0,2237
4,1,5,1,3,2,0,2243
3,3,6,5,6,1,0,2250
4,1,5,1,2,4,2,2252
1,3,4,5,5,1,0,2254
4,3,3,1,4,1,0,2260
4,1,12,1,3,2,0,2264
2,2,4,1,5,1,0,2266
5,1,4,1,3,2,0,2269
6,1,3,1,3,2,0,2272
2,3,5,5,3,2,0,2279
3,3,2,1,2,3,1,2280
5,2,10,1,4,1,0,2282
4,1,12,1,3,2,0,2284
4,1,4,4,2,5,3,2292
4,2,3,4,2,4,2,2294
3,2,4,4,5,1,0,2295
3,3,8,1,3,2,0,2296
6,1,5,3,4,2,0,2298
4,3,5,1,3,2,0,2300
3,1,4,1,1,3,1,2302
4,2,5,1,4,1,0,2305
4,1,6,1,2,3,1,2307
4,1,12,1,3,2,0,2312
4,1,8,1,3,2,0,2314
3,1,5,1,2,5,3,2317
1,3,1,5,4,1,0,2318
4,3,10,1,5,1,0,2322
3,1,5,1,3,2,0,2324
4,3,12,1,3,2,0,2328
4,3,5,1,6,1,0,2330
3,1,4,1,2,5,3,2331
3,3,5,1,6,1,0,2334
6,3,1,1,1,3,2,2337
4,3,5,1,6,1,0,2341
5,3,7,1,6,1,0,2342
1,3,5,5,5,1,0,2343
4,3,4,5,3,2,0,2347
4,1,6,1,3,2,0,2351
4,1,3,1,3,2,0,2359
2,2,5,1,6,1,0,2360
2,3,4,5,3,2,0,2361
4,1,3,4,3,2,0,2364
4,3,1,5,3,2,0,2367
2,1,1,1,3,2,0,2370
4,3,9,1,3,2,0,2374
4,3,4,5,4,1,0,2376
2,1,5,5,2,5,3,2378
4,3,5,1,6,1,0,2380
2,1,5,5,4,2,0,2390
3,3,6,1,5,1,0,2393
6,2,8,5,3,2,0,2397
3,1,3,1,2,3,1,2400
2,3,2,5,4,1,0,2405
2,1,8,1,2,3,1,2406
4,1,7,1,3,2,0,2407
6,1,1,1,3,2,0,2411
4,3,2,5,2,3,1,2420
4,1,9,1,2,5,3,2421
1,3,1,3,4,1,0,2426
3,1,5,1,2,3,1,2427
1,3,4,5,4,1,0,2432
4,3,5,1,1,5,3,2435
3,1,8,1,2,5,3,2437
4,3,4,5,6,1,0,2445
3,3,8,1,3,2,0,2446
3,1,3,1,3,2,0,2447
4,1,5,1,3,2,0,2448
3,1,10,1,2,5,3,2449
4,2,5,1,4,1,0,2453
4,2,3,1,3,2,0,2455
6,1,2,1,4,2,0,2465
3,1,6,1,2,3,1,2467
2,3,9,1,3,2,0,2479
4,2,6,1,5,1,0,2483
3,2,3,5,5,1,0,2486
4,2,4,1,4,1,0,2488
3,1,5,1,3,2,0,2489
3,3,5,1,3,2,0,2494
4,1,6,1,6,3,1,2496
4,3,4,5,5,1,0,2497
2,3,5,1,3,2,0,2498
2,3,1,5,2,3,1,2499
